symbol,direction,open_time,close_time,entry,sl,tp,exit,qty,result,pnl_usdt,pnl_r
ETH/USDT,short,2026-04-17 13:30:00+00:00,2026-04-17 13:50:00+00:00,2404.84,2416.4832,2381.5536,2416.4832,0.453461,loss,-5.2797,-1.0
ETH/USDT,long,2026-04-17 13:51:00+00:00,2026-04-17 13:53:00+00:00,2414.95,2411.377628,2422.094744,2422.094744,1.470548,win,10.5067,2.0
ETH/USDT,long,2026-04-17 14:33:00+00:00,2026-04-17 14:38:00+00:00,2437.3,2434.203062,2443.493876,2443.493876,1.730399,win,10.7179,2.0
ETH/USDT,long,2026-04-17 14:40:00+00:00,2026-04-17 14:44:00+00:00,2443.47,2436.5126,2457.3848,2457.3848,0.777953,win,10.8251,2.0
ETH/USDT,long,2026-04-17 15:11:00+00:00,2026-04-17 15:30:00+00:00,2445.74,2436.402622,2464.414756,2436.402622,0.585459,loss,-5.4667,-1.0
ETH/USDT,short,2026-04-17 15:51:00+00:00,2026-04-17 16:01:00+00:00,2439.35,2443.398582,2431.252836,2443.398582,1.343513,loss,-5.4393,-1.0
ETH/USDT,long,2026-04-17 16:21:00+00:00,2026-04-17 16:31:00+00:00,2445.13,2440.86173,2453.66654,2453.66654,1.26799,win,10.8242,2.0
ETH/USDT,long,2026-04-17 16:33:00+00:00,2026-04-17 16:53:00+00:00,2454.55,2450.75975,2462.1305,2450.75975,1.442186,loss,-5.4662,-1.0
ETH/USDT,long,2026-04-17 16:41:00+00:00,2026-04-17 16:49:00+00:00,2460.83,2453.239254,2476.011492,2453.239254,0.72012,loss,-5.4662,-1.0
ETH/USDT,short,2026-04-17 17:12:00+00:00,2026-04-17 18:13:00+00:00,2437.86,2445.468996,2422.642008,2422.642008,0.711209,win,10.8232,2.0
ETH/USDT,short,2026-04-17 17:27:00+00:00,2026-04-17 17:47:00+00:00,2426.35,2438.53761,2401.97478,2438.53761,0.444023,loss,-5.4116,-1.0
ETH/USDT,long,2026-04-17 17:39:00+00:00,2026-04-17 18:09:00+00:00,2432.41,2426.104682,2445.020636,2426.104682,0.858257,loss,-5.4116,-1.0
ETH/USDT,short,2026-04-17 18:07:00+00:00,2026-04-17 22:37:00+00:00,2428.65,2434.976898,2415.996204,2434.976898,0.851053,loss,-5.3845,-1.0
ETH/USDT,long,2026-04-17 18:27:00+00:00,2026-04-17 18:29:00+00:00,2424.08,2420.155872,2431.928256,2420.155872,1.379054,loss,-5.4116,-1.0
ETH/USDT,long,2026-04-17 18:36:00+00:00,2026-04-17 18:53:00+00:00,2424.03,2419.226058,2433.637884,2419.226058,1.120856,loss,-5.3845,-1.0
ETH/USDT,short,2026-04-17 19:01:00+00:00,2026-04-17 19:42:00+00:00,2424.04,2427.745452,2416.629096,2427.745452,1.44587,loss,-5.3576,-1.0
ETH/USDT,long,2026-04-17 19:03:00+00:00,2026-04-17 19:08:00+00:00,2423.75,2419.326038,2432.597924,2419.326038,1.211042,loss,-5.3576,-1.0
ETH/USDT,long,2026-04-17 19:34:00+00:00,2026-04-17 20:31:00+00:00,2426.72,2422.055492,2436.049016,2422.055492,1.142846,loss,-5.3308,-1.0
ETH/USDT,long,2026-04-17 19:45:00+00:00,2026-04-17 20:30:00+00:00,2429.37,2425.004902,2438.100196,2425.004902,1.215099,loss,-5.304,-1.0
ETH/USDT,long,2026-04-17 20:51:00+00:00,2026-04-17 21:21:00+00:00,2423.88,2420.595784,2430.448432,2430.448432,1.598815,win,10.5017,2.0
ETH/USDT,short,2026-04-17 22:17:00+00:00,2026-04-17 22:31:00+00:00,2424.72,2429.955894,2414.248212,2429.955894,1.012885,loss,-5.3034,-1.0
ETH/USDT,short,2026-04-17 23:20:00+00:00,2026-04-18 00:35:00+00:00,2423.21,2427.475398,2414.679204,2414.679204,1.230816,win,10.4998,2.0
ETH/USDT,short,2026-04-17 23:24:00+00:00,2026-04-17 23:31:00+00:00,2418.67,2423.364576,2409.280848,2423.364576,1.118295,loss,-5.2499,-1.0
ETH/USDT,short,2026-04-18 00:11:00+00:00,2026-04-18 00:28:00+00:00,2416.79,2420.073918,2410.222164,2420.073918,1.590683,loss,-5.2237,-1.0
ETH/USDT,long,2026-04-18 00:41:00+00:00,2026-04-18 01:12:00+00:00,2415.39,2410.5178,2425.1344,2425.1344,1.077553,win,10.5001,2.0
ETH/USDT,long,2026-04-18 01:12:00+00:00,2026-04-18 01:34:00+00:00,2424.0,2419.925918,2432.148164,2419.925918,1.288647,loss,-5.2501,-1.0
ETH/USDT,long,2026-04-18 02:17:00+00:00,2026-04-18 03:00:00+00:00,2421.12,2417.896324,2427.567352,2417.896324,1.636735,loss,-5.2763,-1.0
ETH/USDT,short,2026-04-18 03:55:00+00:00,2026-04-18 08:15:00+00:00,2409.75,2416.303164,2396.643672,2396.643672,0.801128,win,10.4998,2.0
ETH/USDT,short,2026-04-18 04:30:00+00:00,2026-04-18 04:38:00+00:00,2401.67,2406.091122,2392.827756,2406.091122,1.187464,loss,-5.2499,-1.0
ETH/USDT,short,2026-04-18 08:09:00+00:00,2026-04-18 08:16:00+00:00,2400.76,2403.970698,2394.338604,2394.338604,1.626958,win,10.4473,2.0
ETH/USDT,short,2026-04-18 08:25:00+00:00,2026-04-18 08:35:00+00:00,2384.41,2388.557616,2376.114768,2376.114768,1.284692,win,10.6568,2.0
ETH/USDT,short,2026-04-18 08:36:00+00:00,2026-04-18 08:38:00+00:00,2381.14,2385.166938,2373.086124,2373.086124,1.336423,win,10.7634,2.0
ETH/USDT,short,2026-04-18 09:16:00+00:00,2026-04-18 10:09:00+00:00,2374.7,2380.37598,2363.34804,2363.34804,0.957634,win,10.871,2.0
ETH/USDT,long,2026-04-18 10:16:00+00:00,2026-04-18 11:03:00+00:00,2360.4,2354.419022,2372.361956,2354.419022,0.917887,loss,-5.4899,-1.0
ETH/USDT,short,2026-04-18 10:22:00+00:00,2026-04-19 06:12:00+00:00,2355.07,2370.544014,2324.121972,2324.121972,0.35478,win,10.9797,2.0
ETH/USDT,long,2026-04-18 11:06:00+00:00,2026-04-18 11:12:00+00:00,2358.03,2354.159074,2365.771852,2354.159074,1.411139,loss,-5.4624,-1.0
ETH/USDT,long,2026-04-18 12:04:00+00:00,2026-04-18 13:37:00+00:00,2355.97,2349.82994,2368.25012,2349.82994,0.885187,loss,-5.4351,-1.0
ETH/USDT,long,2026-04-18 13:52:00+00:00,2026-04-18 14:23:00+00:00,2355.36,2351.47961,2363.12078,2351.47961,1.393656,loss,-5.4079,-1.0
ETH/USDT,short,2026-04-18 14:25:00+00:00,2026-04-18 14:32:00+00:00,2352.85,2355.881082,2346.787836,2355.881082,1.775237,loss,-5.3809,-1.0
ETH/USDT,long,2026-04-18 14:34:00+00:00,2026-04-18 15:01:00+00:00,2356.63,2352.789348,2364.311304,2364.311304,1.39403,win,10.708,2.0
ETH/USDT,short,2026-04-18 16:19:00+00:00,2026-04-18 16:21:00+00:00,2359.21,2362.12233,2353.38534,2362.12233,1.856769,loss,-5.4075,-1.0
ETH/USDT,long,2026-04-18 16:23:00+00:00,2026-04-18 17:13:00+00:00,2368.86,2356.82854,2392.92292,2356.82854,0.447201,loss,-5.3805,-1.0
ETH/USDT,short,2026-04-18 16:52:00+00:00,2026-04-18 17:30:00+00:00,2357.61,2361.342174,2350.145652,2361.342174,1.441649,loss,-5.3805,-1.0
ETH/USDT,short,2026-04-18 17:15:00+00:00,2026-04-18 17:30:00+00:00,2356.27,2360.231952,2348.346096,2360.231952,1.351249,loss,-5.3536,-1.0
ETH/USDT,short,2026-04-18 18:03:00+00:00,2026-04-18 18:09:00+00:00,2356.45,2360.37198,2348.60604,2360.37198,1.351336,loss,-5.2999,-1.0
ETH/USDT,short,2026-04-18 18:44:00+00:00,2026-04-18 19:01:00+00:00,2341.46,2350.850076,2322.679848,2350.850076,0.561594,loss,-5.2734,-1.0
ETH/USDT,long,2026-04-18 18:48:00+00:00,2026-04-19 01:30:00+00:00,2349.46,2342.521402,2363.337196,2342.521402,0.760011,loss,-5.2734,-1.0
ETH/USDT,long,2026-04-18 19:03:00+00:00,2026-04-18 20:01:00+00:00,2349.8,2345.010904,2359.378192,2345.010904,1.095623,loss,-5.247,-1.0
ETH/USDT,short,2026-04-18 19:34:00+00:00,2026-04-18 20:44:00+00:00,2347.38,2350.930092,2340.279816,2350.930092,1.478003,loss,-5.247,-1.0
