symbol,direction,open_time,close_time,entry,sl,tp,exit,qty,result,gross_pnl,fees_paid,pnl_usdt,pnl_r,liq_price
ETH/USDT,long,2026-01-21 06:30:00+00:00,2026-01-21 06:45:00+00:00,2984.42,2979.404,2994.452,2979.404,0.006717,loss,-0.0337,0.02,-0.0537,-1.594,
ETH/USDT,short,2026-01-21 07:20:00+00:00,2026-01-21 09:00:00+00:00,2977.01,2983.806642,2963.416716,2966.585555,0.00673,win,0.0702,0.02,0.0502,1.097,
ETH/USDT,short,2026-01-21 08:50:00+00:00,2026-01-21 09:15:00+00:00,2962.775,2969.623806,2949.077388,2969.623806,0.006762,loss,-0.0463,0.0201,-0.0664,-1.433,
ETH/USDT,long,2026-01-21 11:35:00+00:00,2026-01-21 11:40:00+00:00,2964.625,2961.547572,2970.779856,2961.547572,0.006757,loss,-0.0208,0.02,-0.0408,-1.963,
ETH/USDT,short,2026-01-21 12:45:00+00:00,2026-01-21 13:05:00+00:00,2928.155,2939.567796,2905.329408,2939.567796,0.006838,loss,-0.078,0.0201,-0.0981,-1.257,
ETH/USDT,long,2026-01-21 13:15:00+00:00,2026-01-21 13:25:00+00:00,2934.16,2928.574168,2945.331664,2928.574168,0.006818,loss,-0.0381,0.02,-0.0581,-1.525,
ETH/USDT,long,2026-01-21 13:30:00+00:00,2026-01-21 13:45:00+00:00,2923.75,2919.376008,2932.497984,2923.75,0.006838,loss,0.0,0.02,-0.02,-0.668,
ETH/USDT,short,2026-01-21 13:35:00+00:00,2026-01-21 14:05:00+00:00,2937.425,2941.908264,2928.458472,2936.886293,0.006805,loss,0.0037,0.02,-0.0163,-0.535,
ETH/USDT,long,2026-01-21 14:20:00+00:00,2026-01-21 15:35:00+00:00,2960.78,2946.830516,2988.678968,2981.585871,0.00675,win,0.1404,0.0201,0.1204,1.279,
ETH/USDT,long,2026-01-21 15:25:00+00:00,2026-01-21 15:30:00+00:00,2996.885,2991.981484,3006.692032,2991.981484,0.006668,loss,-0.0327,0.02,-0.0527,-1.611,
ETH/USDT,long,2026-01-21 15:35:00+00:00,2026-01-21 16:15:00+00:00,2985.035,2974.414998,3006.275004,2985.035,0.0067,loss,0.0,0.02,-0.02,-0.281,
ETH/USDT,short,2026-01-21 15:35:00+00:00,2026-01-21 18:45:00+00:00,2997.765,3007.6014,2978.0922,2913.430162,0.006671,win,0.5626,0.0197,0.5428,8.273,
ETH/USDT,long,2026-01-21 18:20:00+00:00,2026-01-21 20:10:00+00:00,2898.35,2891.961492,2911.127016,3027.177043,0.006898,win,0.8887,0.0204,0.8682,19.702,
ETH/USDT,long,2026-01-21 18:55:00+00:00,2026-01-21 20:10:00+00:00,2918.93,2908.128258,2940.533484,3027.177043,0.006887,win,0.7455,0.0205,0.725,9.746,
ETH/USDT,long,2026-01-21 20:10:00+00:00,2026-01-21 22:35:00+00:00,3014.535,2997.960288,3047.684424,3014.535,0.006775,loss,0.0,0.0204,-0.0204,-0.182,
ETH/USDT,short,2026-01-21 20:25:00+00:00,2026-01-21 20:45:00+00:00,3017.3,3028.125504,2995.648992,3028.125504,0.006768,loss,-0.0733,0.0205,-0.0937,-1.279,
ETH/USDT,long,2026-01-21 21:00:00+00:00,2026-01-21 22:20:00+00:00,3023.085,3017.056468,3035.142064,3023.085,0.006748,loss,0.0,0.0204,-0.0204,-0.501,
ETH/USDT,short,2026-01-21 21:15:00+00:00,2026-01-21 21:30:00+00:00,3035.71,3041.178114,3024.773772,3035.71,0.00672,loss,0.0,0.0204,-0.0204,-0.555,
ETH/USDT,long,2026-01-21 21:30:00+00:00,2026-01-21 21:55:00+00:00,3030.845,3024.395,3043.745,3030.845,0.006729,loss,0.0,0.0204,-0.0204,-0.47,
ETH/USDT,short,2026-01-21 22:10:00+00:00,2026-01-22 00:05:00+00:00,3045.995,3056.251128,3025.482744,2991.140166,0.006694,win,0.3672,0.0202,0.347,5.054,
ETH/USDT,short,2026-01-21 23:55:00+00:00,2026-01-22 00:00:00+00:00,2981.195,2987.577396,2968.430208,2987.577396,0.006838,loss,-0.0436,0.0204,-0.064,-1.468,
ETH/USDT,short,2026-01-22 00:00:00+00:00,2026-01-22 00:25:00+00:00,2993.305,3000.970074,2977.974852,3000.970074,0.006806,loss,-0.0522,0.0204,-0.0726,-1.391,
ETH/USDT,short,2026-01-22 00:25:00+00:00,2026-01-22 00:30:00+00:00,3003.085,3006.80124,2995.65252,3006.80124,0.006803,loss,-0.0253,0.0204,-0.0457,-1.809,
ETH/USDT,short,2026-01-22 02:40:00+00:00,2026-01-22 03:05:00+00:00,3028.14,3035.05689,3014.30622,3026.651736,0.006743,loss,0.01,0.0204,-0.0104,-0.223,
ETH/USDT,long,2026-01-22 03:15:00+00:00,2026-01-22 03:25:00+00:00,3020.565,3015.94669,3029.80162,3015.94669,0.00676,loss,-0.0312,0.0204,-0.0516,-1.654,
ETH/USDT,short,2026-01-22 03:25:00+00:00,2026-01-22 04:05:00+00:00,3022.855,3026.635206,3015.294588,3017.1115,0.006751,win,0.0388,0.0204,0.0184,0.72,
ETH/USDT,short,2026-01-22 03:40:00+00:00,2026-01-22 04:05:00+00:00,3012.01,3016.313142,3003.403716,3016.313142,0.006775,loss,-0.0292,0.0204,-0.0496,-1.7,
ETH/USDT,long,2026-01-22 07:05:00+00:00,2026-01-22 07:15:00+00:00,3011.425,3007.828314,3018.618372,3007.828314,0.006775,loss,-0.0244,0.0204,-0.0448,-1.837,
ETH/USDT,short,2026-01-22 08:00:00+00:00,2026-01-22 08:10:00+00:00,3004.82,3008.691618,2997.076764,3004.82,0.006787,loss,0.0,0.0204,-0.0204,-0.776,
ETH/USDT,short,2026-01-22 08:50:00+00:00,2026-01-22 08:55:00+00:00,3003.145,3006.30114,2996.83272,3006.30114,0.006789,loss,-0.0214,0.0204,-0.0418,-1.952,
ETH/USDT,long,2026-01-22 09:00:00+00:00,2026-01-22 10:15:00+00:00,2999.865,2996.45059,3006.69382,3007.540087,0.006794,win,0.0521,0.0204,0.0317,1.368,
ETH/USDT,long,2026-01-22 10:00:00+00:00,2026-01-22 10:15:00+00:00,3009.54,3005.908698,3016.802604,3005.908698,0.006771,loss,-0.0246,0.0204,-0.045,-1.828,
ETH/USDT,short,2026-01-22 13:50:00+00:00,2026-01-22 14:10:00+00:00,2974.3,2979.24573,2964.40854,2974.3,0.006851,loss,0.0,0.0204,-0.0204,-0.601,
ETH/USDT,short,2026-01-22 14:10:00+00:00,2026-01-22 15:40:00+00:00,2981.74,2988.737628,2967.744744,2934.61412,0.006833,win,0.322,0.0202,0.3018,6.312,
ETH/USDT,short,2026-01-22 14:30:00+00:00,2026-01-22 15:40:00+00:00,2973.365,2977.955472,2964.184056,2934.61412,0.006851,win,0.2655,0.0202,0.2453,7.798,
ETH/USDT,short,2026-01-22 15:00:00+00:00,2026-01-22 15:40:00+00:00,2951.975,2961.012084,2933.900832,2934.61412,0.0069,win,0.1198,0.0203,0.0995,1.595,
ETH/USDT,long,2026-01-22 15:50:00+00:00,2026-01-22 16:15:00+00:00,2933.09,2922.245434,2954.779132,2933.09,0.00699,loss,0.0,0.0205,-0.0205,-0.27,
ETH/USDT,long,2026-01-22 16:55:00+00:00,2026-01-22 17:00:00+00:00,2942.61,2939.292024,2949.245952,2942.61,0.006966,loss,0.0,0.0205,-0.0205,-0.887,
ETH/USDT,long,2026-01-22 18:00:00+00:00,2026-01-22 18:45:00+00:00,2949.12,2942.751332,2961.857336,2949.12,0.006949,loss,0.0,0.0205,-0.0205,-0.463,
ETH/USDT,short,2026-01-22 19:05:00+00:00,2026-01-22 19:30:00+00:00,2945.345,2950.720026,2934.594948,2950.720026,0.006957,loss,-0.0374,0.0205,-0.0579,-1.548,
ETH/USDT,short,2026-01-22 21:10:00+00:00,2026-01-22 22:10:00+00:00,2946.57,2953.530588,2932.648824,2953.530588,0.00695,loss,-0.0484,0.0205,-0.0689,-1.424,
ETH/USDT,short,2026-01-23 05:30:00+00:00,2026-01-23 06:05:00+00:00,2970.43,2973.974676,2963.340648,2970.43,0.00689,loss,0.0,0.0205,-0.0205,-0.838,
ETH/USDT,short,2026-01-23 06:35:00+00:00,2026-01-23 06:45:00+00:00,2953.425,2959.601802,2941.071396,2953.425,0.006928,loss,0.0,0.0205,-0.0205,-0.478,
ETH/USDT,short,2026-01-23 08:40:00+00:00,2026-01-23 09:00:00+00:00,2931.115,2938.217526,2916.909948,2931.115,0.006979,loss,0.0,0.0205,-0.0205,-0.413,
ETH/USDT,long,2026-01-23 11:20:00+00:00,2026-01-23 12:15:00+00:00,2932.165,2926.86451,2942.76598,2934.349522,0.006975,loss,0.0152,0.0205,-0.0052,-0.141,
ETH/USDT,long,2026-01-23 11:50:00+00:00,2026-01-23 12:05:00+00:00,2938.765,2935.4128,2945.4694,2935.4128,0.006959,loss,-0.0233,0.0204,-0.0438,-1.876,
ETH/USDT,short,2026-01-23 14:45:00+00:00,2026-01-23 14:50:00+00:00,2911.9,2915.222928,2905.254144,2915.222928,0.00702,loss,-0.0233,0.0205,-0.0438,-1.877,
ETH/USDT,short,2026-01-23 14:50:00+00:00,2026-01-23 15:20:00+00:00,2924.91,2940.98808,2892.75384,2924.91,0.006986,loss,0.0,0.0204,-0.0204,-0.182,
ETH/USDT,long,2026-01-23 15:45:00+00:00,2026-01-23 18:00:00+00:00,2931.655,2924.844914,2945.275172,2982.55832,0.006969,win,0.3547,0.0206,0.3341,7.04,
ETH/USDT,long,2026-01-23 15:55:00+00:00,2026-01-23 16:30:00+00:00,2940.325,2932.523378,2955.928244,2940.325,0.006947,loss,0.0,0.0204,-0.0204,-0.377,
ETH/USDT,long,2026-01-23 16:45:00+00:00,2026-01-23 17:05:00+00:00,2959.74,2948.570168,2982.079664,2959.74,0.006901,loss,0.0,0.0204,-0.0204,-0.265,
ETH/USDT,long,2026-01-23 17:55:00+00:00,2026-01-23 19:00:00+00:00,2982.79,2974.15505,3000.0599,2982.79,0.006846,loss,0.0,0.0204,-0.0204,-0.345,
ETH/USDT,short,2026-01-23 18:05:00+00:00,2026-01-23 18:20:00+00:00,2996.135,3002.460372,2983.484256,2996.135,0.006838,loss,0.0,0.0205,-0.0205,-0.474,
ETH/USDT,short,2026-01-23 19:40:00+00:00,2026-01-23 20:05:00+00:00,2958.35,2961.752232,2951.545536,2958.35,0.006923,loss,0.0,0.0205,-0.0205,-0.87,
ETH/USDT,short,2026-01-23 20:40:00+00:00,2026-01-23 21:00:00+00:00,2943.47,2949.23973,2931.93054,2943.47,0.006957,loss,0.0,0.0205,-0.0205,-0.51,
ETH/USDT,short,2026-01-23 21:15:00+00:00,2026-01-23 22:00:00+00:00,2951.19,2954.380758,2944.808484,2951.19,0.006937,loss,0.0,0.0205,-0.0205,-0.925,
