symbol,direction,open_time,close_time,entry,sl,tp,exit,qty,result,gross_pnl,fees_paid,pnl_usdt,pnl_r,liq_price
ETH/USDT,long,2025-04-05 14:50:00+00:00,2025-04-05 14:55:00+00:00,1791.270187,1788.302268,1814.5,1814.5,0.01209,win,0.2809,0.0218,0.2591,7.22,
ETH/USDT,long,2025-04-06 00:00:00+00:00,2025-04-06 00:25:00+00:00,1808.378737,1802.269474,1885.0,1885.0,0.012005,win,0.9198,0.0222,0.8977,12.24,
ETH/USDT,long,2025-04-06 00:45:00+00:00,2025-04-06 00:50:00+00:00,1810.950022,1808.578212,1836.81,1808.578212,0.012087,loss,-0.0287,0.0219,-0.0505,-1.763,
ETH/USDT,short,2025-04-07 01:45:00+00:00,2025-04-07 02:35:00+00:00,1600.874163,1610.191974,1570.0,1610.191974,0.013667,loss,-0.1273,0.0219,-0.1493,-1.172,
ETH/USDT,long,2025-04-07 09:15:00+00:00,2025-04-07 09:20:00+00:00,1477.028145,1465.086924,1600.0,1600.0,0.014792,win,1.819,0.0228,1.7963,10.169,
ETH/USDT,long,2025-04-07 10:25:00+00:00,2025-04-07 10:30:00+00:00,1499.444348,1494.701,1600.0,1600.0,0.014811,win,1.4893,0.023,1.4664,20.873,
ETH/USDT,short,2025-04-07 10:55:00+00:00,2025-04-07 11:05:00+00:00,1499.80972,1502.630466,1488.88,1502.630466,0.015003,loss,-0.0423,0.0225,-0.0648,-1.532,
ETH/USDT,short,2025-04-07 14:30:00+00:00,2025-04-07 14:50:00+00:00,1585.736735,1603.110558,1518.88,1603.110558,0.014182,loss,-0.2464,0.0226,-0.269,-1.092,
ETH/USDT,long,2025-04-08 01:45:00+00:00,2025-04-08 01:55:00+00:00,1578.20871,1572.795378,1611.41,1611.41,0.014215,win,0.472,0.0227,0.4493,5.839,
ETH/USDT,long,2025-04-08 02:15:00+00:00,2025-04-08 02:30:00+00:00,1601.04012,1594.681,1660.0,1660.0,0.014069,win,0.8295,0.0229,0.8065,9.015,
ETH/USDT,long,2025-04-08 02:35:00+00:00,2025-04-08 02:40:00+00:00,1591.93557,1589.682,1611.41,1611.41,0.01425,win,0.2775,0.0228,0.2547,7.931,
ETH/USDT,long,2025-04-08 02:45:00+00:00,2025-04-08 03:25:00+00:00,1587.458332,1581.263684,1611.41,1611.41,0.014323,win,0.3431,0.0229,0.3201,3.608,
ETH/USDT,short,2025-04-08 03:20:00+00:00,2025-04-08 03:25:00+00:00,1587.061073,1591.51824,1561.02,1591.51824,0.014325,loss,-0.0638,0.0228,-0.0866,-1.357,
ETH/USDT,short,2025-04-08 04:00:00+00:00,2025-04-08 04:10:00+00:00,1585.137035,1589.527842,1558.66,1589.527842,0.014373,loss,-0.0631,0.0228,-0.0859,-1.362,
ETH/USDT,long,2025-04-08 11:40:00+00:00,2025-04-08 12:55:00+00:00,1575.362287,1570.295878,1660.0,1660.0,0.014451,win,1.2231,0.0234,1.1998,16.386,
